id,predicted
1,5.0
2,5.0
3,5.0
4,5.0
5,4.5
6,1.0
7,2.8
8,5.0
9,5.0
10,2.7
11,5.0
12,4.3
13,4.0
14,3.4
15,2.1
16,5.0
17,5.0
18,3.0
19,5.0
20,5.0
21,5.0
22,5.0
23,3.8
24,3.0
25,5.0
26,5.0
27,1.0
28,4.4
29,1.8
30,5.0
31,5.0
32,4.0
33,5.0
34,5.0
35,4.6
36,5.0
37,4.0
38,5.0
39,2.8
40,2.0
41,5.0
42,5.0
43,5.0
44,5.0
45,1.4
46,3.0
47,3.0
48,1.2
49,5.0
50,5.0
51,5.0
52,5.0
53,5.0
54,3.0
55,4.1
56,2.9
57,5.0
58,1.3
59,2.8
60,5.0
61,5.0
62,1.0
63,5.0
64,4.0
65,5.0
66,1.0
67,2.8
68,5.0
69,5.0
70,5.0
71,1.6
72,4.0
73,5.0
74,5.0
75,2.6
76,5.0
77,5.0
78,5.0
79,1.0
80,5.0
81,1.4
82,5.0
83,5.0
84,5.0
85,1.0
86,1.8
87,1.2
88,5.0
89,5.0
90,4.8
91,3.6
92,5.0
93,5.0
94,4.0
95,5.0
96,3.0
97,5.0
98,5.0
99,5.0
100,5.0
101,5.0
102,1.0
103,1.0
104,2.7
105,5.0
106,5.0
107,5.0
108,5.0
109,3.9
110,1.0
111,3.2
112,5.0
113,4.0
114,5.0
115,2.9
116,5.0
117,4.0
118,5.0
119,5.0
120,5.0
121,5.0
122,5.0
123,1.8
124,5.0
125,5.0
126,5.0
127,2.4
128,5.0
129,1.2
130,5.0
131,4.0
132,5.0
133,5.0
134,5.0
135,2.1
136,5.0
137,1.0
138,5.0
139,1.0
140,5.0
141,5.0
142,5.0
143,1.0
144,5.0
145,3.6
146,2.8
147,5.0
148,5.0
149,2.5
150,5.0
151,4.0
152,1.0
153,5.0
154,1.0
155,5.0
156,5.0
157,5.0
158,2.0
159,5.0
160,4.0
161,1.9
162,5.0
163,1.0
164,1.0
165,5.0
166,5.0
167,1.0
168,5.0
169,5.0
170,5.0
171,2.7
172,5.0
173,5.0
174,5.0
175,1.8
176,5.0
177,1.0
178,1.4
179,5.0
180,5.0
181,4.9
182,4.9
183,4.0
184,5.0
185,5.0
186,5.0
187,3.2
188,1.0
189,5.0
190,5.0
191,5.0
192,5.0
193,5.0
194,5.0
195,5.0
196,3.0
197,5.0
198,2.6
199,1.0
200,5.0
201,5.0
202,5.0
